Algorithm,Parameters,F1 Score,Adjusted Rand Score,Silhouette Score,Execution Time,clustering_results_gas-drift-different-concentrations
DBSCAN,"{'eps': 1.0, 'min_samples': 5}",0.057915376083764,-6.990242225761221e-05,0.1849314825402516,66.60750985145569,clustering_results_gas-drift-different-concentrations
DBSCAN,"{'eps': 1.0, 'min_samples': 7}",0.0571976952084386,-6.917392273143662e-05,0.4986922953594356,43.26839375495911,clustering_results_gas-drift-different-concentrations
DBSCAN,"{'eps': 1.0, 'min_samples': 9}",0.0571822082641118,-8.375750377400192e-05,0.4948597363646611,32.42061376571655,clustering_results_gas-drift-different-concentrations
DBSCAN,"{'eps': 1.0, 'min_samples': 12}",0.0571822082641118,-8.375750377400192e-05,0.4948597363646611,45.1401047706604,clustering_results_gas-drift-different-concentrations
DBSCAN,"{'eps': 1.5, 'min_samples': 5}",0.0573414228774934,-7.738493766187533e-05,0.623811242901894,59.37349104881287,clustering_results_gas-drift-different-concentrations
DBSCAN,"{'eps': 1.5, 'min_samples': 7}",0.0573414228774934,-7.738493766187533e-05,0.623811242901894,98.5813717842102,clustering_results_gas-drift-different-concentrations
DBSCAN,"{'eps': 1.5, 'min_samples': 9}",0.0573414228774934,-7.738493766187533e-05,0.623811242901894,56.610795974731445,clustering_results_gas-drift-different-concentrations
DBSCAN,"{'eps': 1.5, 'min_samples': 12}",0.0573414228774934,-7.738493766187533e-05,0.623811242901894,29.37283587455749,clustering_results_gas-drift-different-concentrations
GaussianMixture,"{'covariance_type': 'full', 'max_iter': 100, 'n_components': 2}",0.07580049865901566,0.0026188324872790333,0.35534087255494723,24.472421169281006,clustering_results_gas-drift-different-concentrations
GaussianMixture,"{'covariance_type': 'full', 'max_iter': 100, 'n_components': 3}",0.13948892178206854,0.01623990139714819,0.2824527730612098,26.425812005996704,clustering_results_gas-drift-different-concentrations
GaussianMixture,"{'covariance_type': 'full', 'max_iter': 100, 'n_components': 4}",0.1462043845212633,0.14459749223742915,0.22874010104861156,37.57620573043823,clustering_results_gas-drift-different-concentrations
GaussianMixture,"{'covariance_type': 'full', 'max_iter': 300, 'n_components': 2}",0.07580049865901566,0.0026188324872790333,0.35534087255494723,28.29917049407959,clustering_results_gas-drift-different-concentrations
GaussianMixture,"{'covariance_type': 'full', 'max_iter': 300, 'n_components': 3}",0.09404638238617558,0.013675217744547384,0.26695657544988416,19.00684118270874,clustering_results_gas-drift-different-concentrations
GaussianMixture,"{'covariance_type': 'full', 'max_iter': 300, 'n_components': 4}",0.1570287571855782,0.123242410890462,0.24007700672990978,50.8854775428772,clustering_results_gas-drift-different-concentrations
GaussianMixture,"{'covariance_type': 'full', 'max_iter': 500, 'n_components': 2}",0.10394586064149808,0.002612925647570778,0.355400085882909,26.303513765335083,clustering_results_gas-drift-different-concentrations
GaussianMixture,"{'covariance_type': 'full', 'max_iter': 500, 'n_components': 3}",0.13340624393043982,0.01366693647521877,0.26693060536897234,18.52224040031433,clustering_results_gas-drift-different-concentrations
GaussianMixture,"{'covariance_type': 'full', 'max_iter': 500, 'n_components': 4}",0.18484908842425626,0.14459749223742915,0.22874010104861156,38.27831268310547,clustering_results_gas-drift-different-concentrations
GaussianMixture,"{'covariance_type': 'tied', 'max_iter': 100, 'n_components': 2}",0.10550071885623986,0.005359646165826059,0.4307761354378025,19.844020128250122,clustering_results_gas-drift-different-concentrations
GaussianMixture,"{'covariance_type': 'tied', 'max_iter': 100, 'n_components': 3}",0.11714868299039641,0.026916107236398958,0.3459736419815883,19.59112048149109,clustering_results_gas-drift-different-concentrations
GaussianMixture,"{'covariance_type': 'tied', 'max_iter': 100, 'n_components': 4}",0.12786336291270817,0.08107300191612743,0.23555332434001192,33.70708966255188,clustering_results_gas-drift-different-concentrations
GaussianMixture,"{'covariance_type': 'tied', 'max_iter': 300, 'n_components': 2}",0.13171323232136417,0.005312493456498189,0.43104126271629134,16.044604301452637,clustering_results_gas-drift-different-concentrations
GaussianMixture,"{'covariance_type': 'tied', 'max_iter': 300, 'n_components': 3}",0.09176232147632417,0.04090422788502894,0.25194164304960925,23.51351547241211,clustering_results_gas-drift-different-concentrations
GaussianMixture,"{'covariance_type': 'tied', 'max_iter': 300, 'n_components': 4}",0.04569735162052786,0.07955435558420097,0.2970608685995236,23.736608266830444,clustering_results_gas-drift-different-concentrations
GaussianMixture,"{'covariance_type': 'tied', 'max_iter': 500, 'n_components': 2}",0.1055063035262263,0.005356754694915975,0.4308282973093311,14.930437326431274,clustering_results_gas-drift-different-concentrations
GaussianMixture,"{'covariance_type': 'tied', 'max_iter': 500, 'n_components': 3}",0.14673419588494663,0.04107967188573449,0.25132834671446885,26.771775245666504,clustering_results_gas-drift-different-concentrations
GaussianMixture,"{'covariance_type': 'tied', 'max_iter': 500, 'n_components': 4}",0.03370162403901937,0.07955435558420097,0.2970608685995236,23.45957589149475,clustering_results_gas-drift-different-concentrations
GaussianMixture,"{'covariance_type': 'diag', 'max_iter': 100, 'n_components': 2}",0.11788552208178397,0.04838994861000858,0.41851625269308906,3.4245851039886475,clustering_results_gas-drift-different-concentrations
GaussianMixture,"{'covariance_type': 'diag', 'max_iter': 100, 'n_components': 3}",0.1085842441857245,0.05277798567025137,0.31842256409450326,7.66594386100769,clustering_results_gas-drift-different-concentrations
GaussianMixture,"{'covariance_type': 'diag', 'max_iter': 100, 'n_components': 4}",0.06709424254169122,0.09130090225902106,0.2892471976196326,9.745246410369873,clustering_results_gas-drift-different-concentrations
GaussianMixture,"{'covariance_type': 'diag', 'max_iter': 300, 'n_components': 2}",0.11788552208178397,0.04838994861000858,0.41851625269308906,2.4992833137512207,clustering_results_gas-drift-different-concentrations
GaussianMixture,"{'covariance_type': 'diag', 'max_iter': 300, 'n_components': 3}",0.10045111947750876,0.05275347954878788,0.31849504059072337,6.054539918899536,clustering_results_gas-drift-different-concentrations
GaussianMixture,"{'covariance_type': 'diag', 'max_iter': 300, 'n_components': 4}",0.056554492304791294,0.09081444050463824,0.27991731983515533,8.5101478099823,clustering_results_gas-drift-different-concentrations
GaussianMixture,"{'covariance_type': 'diag', 'max_iter': 500, 'n_components': 2}",0.11348872976354468,0.04838994861000858,0.41851625269308906,2.517642021179199,clustering_results_gas-drift-different-concentrations
GaussianMixture,"{'covariance_type': 'diag', 'max_iter': 500, 'n_components': 3}",0.1052039342893128,0.06014167945131244,0.28863209068417484,4.728189945220947,clustering_results_gas-drift-different-concentrations
GaussianMixture,"{'covariance_type': 'diag', 'max_iter': 500, 'n_components': 4}",0.11424426237178739,0.09076189113279103,0.27996334306717974,9.85150408744812,clustering_results_gas-drift-different-concentrations
GaussianMixture,"{'covariance_type': 'spherical', 'max_iter': 100, 'n_components': 2}",0.1003405710349289,0.07516678662416747,0.36597016763494894,3.3212969303131104,clustering_results_gas-drift-different-concentrations
GaussianMixture,"{'covariance_type': 'spherical', 'max_iter': 100, 'n_components': 3}",0.10586761137810678,0.050097664638824216,0.23928733231257324,6.107558012008667,clustering_results_gas-drift-different-concentrations
