Algorithm,Parameters,F1 Score,Adjusted Rand Score,Silhouette Score,Execution Time,clustering_results_gas-drift-different-concentrations,dataset,clustering_results_glass,clustering_results_haberman,clustering_results_iris,clustering_results_isolet,clustering_results_letter,clustering_results_libras,clustering_results_MagicTelescope,clustering_results_satelite,clustering_results_wine
KMeans,"{'init': 'k-means++', 'max_iter': 100, 'n_clusters': 3}",0.0540973610817743,0.0335976055123482,0.4257601722029226,2.8264052867889404,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
KMeans,"{'init': 'k-means++', 'max_iter': 100, 'n_clusters': 4}",0.1221730976805356,0.060306234702838,0.3134366833650583,2.3112924098968506,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
KMeans,"{'init': 'k-means++', 'max_iter': 100, 'n_clusters': 5}",0.2130425774772162,0.0800076566110196,0.3389975940875371,3.4620561599731445,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
KMeans,"{'init': 'k-means++', 'max_iter': 100, 'n_clusters': 6}",0.0991397465639641,0.0600972772475349,0.280078103033485,5.479805946350098,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
KMeans,"{'init': 'k-means++', 'max_iter': 100, 'n_clusters': 7}",0.0641594892099209,0.0676024979790637,0.2896932700165496,3.792276382446289,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
KMeans,"{'init': 'k-means++', 'max_iter': 300, 'n_clusters': 3}",0.0540973610817743,0.0335976055123482,0.4257601722029226,2.9977259635925293,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
KMeans,"{'init': 'k-means++', 'max_iter': 300, 'n_clusters': 4}",0.0908349612022109,0.0495575694953587,0.3139106009600254,2.2358286380767822,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
KMeans,"{'init': 'k-means++', 'max_iter': 300, 'n_clusters': 5}",0.1230981355694736,0.0802443828338236,0.3388770700597808,4.656995058059692,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
KMeans,"{'init': 'k-means++', 'max_iter': 300, 'n_clusters': 6}",0.2094567145031497,0.0600972772475349,0.280078103033485,5.213085412979126,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
KMeans,"{'init': 'k-means++', 'max_iter': 300, 'n_clusters': 7}",0.1911268884809764,0.0555537194425779,0.2870130628493036,6.7251410484313965,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
KMeans,"{'init': 'k-means++', 'max_iter': 500, 'n_clusters': 3}",0.0835285446039293,0.0335976055123482,0.4257601722029226,1.967557907104492,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
KMeans,"{'init': 'k-means++', 'max_iter': 500, 'n_clusters': 4}",0.109629162760793,0.0494813027003372,0.3144518102765599,1.936245441436768,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
KMeans,"{'init': 'k-means++', 'max_iter': 500, 'n_clusters': 5}",0.1359541082505909,0.080153405853842,0.3389030477571527,3.950406551361084,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
KMeans,"{'init': 'k-means++', 'max_iter': 500, 'n_clusters': 6}",0.1361151801433603,0.0600972772475349,0.280078103033485,4.464987277984619,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
KMeans,"{'init': 'k-means++', 'max_iter': 500, 'n_clusters': 7}",0.2408928775403498,0.0676024979790637,0.2896932700165496,3.604636192321777,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
KMeans,"{'init': 'random', 'max_iter': 100, 'n_clusters': 3}",0.0540734852699694,0.0337243054845848,0.4255418904234643,3.2391719818115234,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
KMeans,"{'init': 'random', 'max_iter': 100, 'n_clusters': 4}",0.1402674701323315,0.050491620099125,0.3104423268872302,2.303658962249756,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
KMeans,"{'init': 'random', 'max_iter': 100, 'n_clusters': 5}",0.1061621972835634,0.0802443828338236,0.3388770700597808,3.136143684387207,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
KMeans,"{'init': 'random', 'max_iter': 100, 'n_clusters': 6}",0.1541060479042236,0.0600972772475349,0.280078103033485,5.932538032531738,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
KMeans,"{'init': 'random', 'max_iter': 100, 'n_clusters': 7}",0.1113132082719502,0.0959155042621984,0.2804588707338244,4.479820251464844,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
KMeans,"{'init': 'random', 'max_iter': 300, 'n_clusters': 3}",0.1148981215484455,0.0335976055123482,0.4257601722029226,2.926886796951294,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
KMeans,"{'init': 'random', 'max_iter': 300, 'n_clusters': 4}",0.1160949397902441,0.0494813027003372,0.3144518102765599,3.657209634780884,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
KMeans,"{'init': 'random', 'max_iter': 300, 'n_clusters': 5}",0.1240662684332467,0.0799788281762417,0.3378969514449085,3.869076728820801,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
KMeans,"{'init': 'random', 'max_iter': 300, 'n_clusters': 6}",0.2669826094799455,0.0600972772475349,0.280078103033485,5.036850929260254,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
KMeans,"{'init': 'random', 'max_iter': 300, 'n_clusters': 7}",0.127924893800608,0.0959155042621984,0.2804588707338244,5.769360542297363,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
KMeans,"{'init': 'random', 'max_iter': 500, 'n_clusters': 3}",0.0835285446039293,0.0335976055123482,0.4257601722029226,2.4196584224700928,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
KMeans,"{'init': 'random', 'max_iter': 500, 'n_clusters': 4}",0.092767771304846,0.060306234702838,0.3134366833650583,3.851966857910156,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
KMeans,"{'init': 'random', 'max_iter': 500, 'n_clusters': 5}",0.0690601642451636,0.0802443828338236,0.3388770700597808,3.307851076126098,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
KMeans,"{'init': 'random', 'max_iter': 500, 'n_clusters': 6}",0.1991069972730812,0.0600972772475349,0.280078103033485,3.295497417449951,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
KMeans,"{'init': 'random', 'max_iter': 500, 'n_clusters': 7}",0.175678354550131,0.0959243289036256,0.2805222731137594,5.475450277328491,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
DBSCAN,"{'eps': 0.5, 'min_samples': 5}",0.0589902355017482,-0.0039049976655982,0.035514997849663,16.027379989624023,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
DBSCAN,"{'eps': 0.5, 'min_samples': 7}",0.0581766803120861,-0.0040205484130882,0.0368387417578105,15.967067956924438,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
DBSCAN,"{'eps': 0.5, 'min_samples': 9}",0.0582278310703835,-0.0038715445616421,0.0516562368196632,15.467207193374634,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
DBSCAN,"{'eps': 0.5, 'min_samples': 12}",0.0606644801594911,-0.0038916518865813,0.1267092177941286,16.398029565811157,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
DBSCAN,"{'eps': 1.0, 'min_samples': 5}",0.057915376083764,-6.990242225761221e-05,0.1849314825402516,66.60750985145569,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
DBSCAN,"{'eps': 1.0, 'min_samples': 7}",0.0571976952084386,-6.917392273143662e-05,0.4986922953594356,43.26839375495911,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
DBSCAN,"{'eps': 1.0, 'min_samples': 9}",0.0571822082641118,-8.375750377400192e-05,0.4948597363646611,32.42061376571655,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
DBSCAN,"{'eps': 1.0, 'min_samples': 12}",0.0571822082641118,-8.375750377400192e-05,0.4948597363646611,45.1401047706604,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
DBSCAN,"{'eps': 1.5, 'min_samples': 5}",0.0573414228774934,-7.738493766187533e-05,0.623811242901894,59.37349104881287,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
DBSCAN,"{'eps': 1.5, 'min_samples': 7}",0.0573414228774934,-7.738493766187533e-05,0.623811242901894,98.5813717842102,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
DBSCAN,"{'eps': 1.5, 'min_samples': 9}",0.0573414228774934,-7.738493766187533e-05,0.623811242901894,56.610795974731445,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
DBSCAN,"{'eps': 1.5, 'min_samples': 12}",0.0573414228774934,-7.738493766187533e-05,0.623811242901894,29.37283587455749,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
GaussianMixture,"{'covariance_type': 'full', 'max_iter': 100, 'n_components': 2}",0.0758004986590156,0.002618832487279,0.3553408725549472,24.47242116928101,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
GaussianMixture,"{'covariance_type': 'full', 'max_iter': 100, 'n_components': 3}",0.1394889217820685,0.0162399013971481,0.2824527730612098,26.425812005996704,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
GaussianMixture,"{'covariance_type': 'full', 'max_iter': 100, 'n_components': 4}",0.1462043845212633,0.1445974922374291,0.2287401010486115,37.57620573043823,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
GaussianMixture,"{'covariance_type': 'full', 'max_iter': 300, 'n_components': 2}",0.0758004986590156,0.002618832487279,0.3553408725549472,28.29917049407959,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
GaussianMixture,"{'covariance_type': 'full', 'max_iter': 300, 'n_components': 3}",0.0940463823861755,0.0136752177445473,0.2669565754498841,19.00684118270874,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
GaussianMixture,"{'covariance_type': 'full', 'max_iter': 300, 'n_components': 4}",0.1570287571855782,0.123242410890462,0.2400770067299097,50.8854775428772,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
GaussianMixture,"{'covariance_type': 'full', 'max_iter': 500, 'n_components': 2}",0.103945860641498,0.0026129256475707,0.355400085882909,26.303513765335083,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
GaussianMixture,"{'covariance_type': 'full', 'max_iter': 500, 'n_components': 3}",0.1334062439304398,0.0136669364752187,0.2669306053689723,18.52224040031433,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
GaussianMixture,"{'covariance_type': 'full', 'max_iter': 500, 'n_components': 4}",0.1848490884242562,0.1445974922374291,0.2287401010486115,38.27831268310547,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
GaussianMixture,"{'covariance_type': 'tied', 'max_iter': 100, 'n_components': 2}",0.1055007188562398,0.005359646165826,0.4307761354378025,19.84402012825012,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
GaussianMixture,"{'covariance_type': 'tied', 'max_iter': 100, 'n_components': 3}",0.1171486829903964,0.0269161072363989,0.3459736419815883,19.59112048149109,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
GaussianMixture,"{'covariance_type': 'tied', 'max_iter': 100, 'n_components': 4}",0.1278633629127081,0.0810730019161274,0.2355533243400119,33.70708966255188,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
GaussianMixture,"{'covariance_type': 'tied', 'max_iter': 300, 'n_components': 2}",0.1317132323213641,0.0053124934564981,0.4310412627162913,16.044604301452637,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
GaussianMixture,"{'covariance_type': 'tied', 'max_iter': 300, 'n_components': 3}",0.0917623214763241,0.0409042278850289,0.2519416430496092,23.51351547241211,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
GaussianMixture,"{'covariance_type': 'tied', 'max_iter': 300, 'n_components': 4}",0.0456973516205278,0.0795543555842009,0.2970608685995236,23.736608266830444,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
GaussianMixture,"{'covariance_type': 'tied', 'max_iter': 500, 'n_components': 2}",0.1055063035262263,0.0053567546949159,0.4308282973093311,14.930437326431274,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
GaussianMixture,"{'covariance_type': 'tied', 'max_iter': 500, 'n_components': 3}",0.1467341958849466,0.0410796718857344,0.2513283467144688,26.771775245666504,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
GaussianMixture,"{'covariance_type': 'tied', 'max_iter': 500, 'n_components': 4}",0.0337016240390193,0.0795543555842009,0.2970608685995236,23.45957589149475,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
GaussianMixture,"{'covariance_type': 'diag', 'max_iter': 100, 'n_components': 2}",0.1178855220817839,0.0483899486100085,0.418516252693089,3.4245851039886475,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
GaussianMixture,"{'covariance_type': 'diag', 'max_iter': 100, 'n_components': 3}",0.1085842441857245,0.0527779856702513,0.3184225640945032,7.66594386100769,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
GaussianMixture,"{'covariance_type': 'diag', 'max_iter': 100, 'n_components': 4}",0.0670942425416912,0.091300902259021,0.2892471976196326,9.745246410369871,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
GaussianMixture,"{'covariance_type': 'diag', 'max_iter': 300, 'n_components': 2}",0.1178855220817839,0.0483899486100085,0.418516252693089,2.4992833137512207,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
GaussianMixture,"{'covariance_type': 'diag', 'max_iter': 300, 'n_components': 3}",0.1004511194775087,0.0527534795487878,0.3184950405907233,6.054539918899536,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
GaussianMixture,"{'covariance_type': 'diag', 'max_iter': 300, 'n_components': 4}",0.0565544923047912,0.0908144405046382,0.2799173198351553,8.5101478099823,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
GaussianMixture,"{'covariance_type': 'diag', 'max_iter': 500, 'n_components': 2}",0.1134887297635446,0.0483899486100085,0.418516252693089,2.517642021179199,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
GaussianMixture,"{'covariance_type': 'diag', 'max_iter': 500, 'n_components': 3}",0.1052039342893128,0.0601416794513124,0.2886320906841748,4.728189945220947,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
GaussianMixture,"{'covariance_type': 'diag', 'max_iter': 500, 'n_components': 4}",0.1142442623717873,0.090761891132791,0.2799633430671797,9.85150408744812,clustering_results_gas-drift-different-concentrations,gas-drift-different-concentrations,,,,,,,,,
