Algorithm,Parameters,F1 Score,Adjusted Rand Score,Silhouette Score,Execution Time
KMeans,"{'init': 'k-means++', 'max_iter': 100, 'n_clusters': 2}",0.0,0.5681159420289855,0.6294675561906644,0.47084903717041016
KMeans,"{'init': 'k-means++', 'max_iter': 100, 'n_clusters': 3}",0.439889327529777,0.7163421126838476,0.5043188549150883,0.3836476802825928
KMeans,"{'init': 'k-means++', 'max_iter': 100, 'n_clusters': 4}",0.24472573839662445,0.6230929299814632,0.4446273300650682,0.390836238861084
KMeans,"{'init': 'k-means++', 'max_iter': 300, 'n_clusters': 2}",0.5555555555555555,0.5681159420289855,0.6294675561906644,0.3243699073791504
KMeans,"{'init': 'k-means++', 'max_iter': 300, 'n_clusters': 3}",0.439889327529777,0.7163421126838476,0.5043188549150883,0.33228611946105957
KMeans,"{'init': 'k-means++', 'max_iter': 300, 'n_clusters': 4}",0.01687763713080169,0.6230929299814632,0.4446273300650682,0.3168964385986328
KMeans,"{'init': 'k-means++', 'max_iter': 500, 'n_clusters': 2}",0.0,0.5681159420289855,0.6294675561906644,0.3449442386627197
KMeans,"{'init': 'k-means++', 'max_iter': 500, 'n_clusters': 3}",0.08408408408408408,0.7163421126838476,0.5043188549150883,0.3795928955078125
KMeans,"{'init': 'k-means++', 'max_iter': 500, 'n_clusters': 4}",0.01687763713080169,0.6230929299814632,0.4446273300650682,0.43213891983032227
KMeans,"{'init': 'random', 'max_iter': 100, 'n_clusters': 2}",0.5555555555555555,0.5681159420289855,0.6294675561906644,0.3117854595184326
KMeans,"{'init': 'random', 'max_iter': 100, 'n_clusters': 3}",0.022471910112359553,0.7163421126838476,0.5043188549150883,0.29522275924682617
KMeans,"{'init': 'random', 'max_iter': 100, 'n_clusters': 4}",0.01687763713080169,0.6230929299814632,0.4446273300650682,0.280073881149292
KMeans,"{'init': 'random', 'max_iter': 300, 'n_clusters': 2}",0.0,0.5681159420289855,0.6294675561906644,0.279587984085083
KMeans,"{'init': 'random', 'max_iter': 300, 'n_clusters': 3}",0.8852785369639302,0.7163421126838476,0.5043188549150883,0.2640652656555176
KMeans,"{'init': 'random', 'max_iter': 300, 'n_clusters': 4}",0.6988625940194458,0.6230929299814632,0.4446273300650682,0.26705360412597656
KMeans,"{'init': 'random', 'max_iter': 500, 'n_clusters': 2}",0.0,0.5681159420289855,0.6294675561906644,0.28007006645202637
KMeans,"{'init': 'random', 'max_iter': 500, 'n_clusters': 3}",0.2696629213483146,0.7163421126838476,0.5043188549150883,0.2640697956085205
KMeans,"{'init': 'random', 'max_iter': 500, 'n_clusters': 4}",0.24472573839662445,0.6230929299814632,0.4446273300650682,0.25606226921081543
AgglomerativeClustering,"{'affinity': 'euclidean', 'linkage': 'complete', 'n_clusters': 2}",0.20873972078791356,0.2234197189738486,0.3039130905811038,0.04801011085510254
AgglomerativeClustering,"{'affinity': 'euclidean', 'linkage': 'complete', 'n_clusters': 3}",0.43897099069512857,0.7060059674676762,0.5030674466509139,0.0160062313079834
AgglomerativeClustering,"{'affinity': 'euclidean', 'linkage': 'complete', 'n_clusters': 4}",0.007936507936507938,0.5781289744177803,0.3931866272687037,0.007997751235961914
AgglomerativeClustering,"{'affinity': 'euclidean', 'linkage': 'complete', 'n_clusters': 5}",0.16858237547892718,0.5041716687577664,0.3367877805272904,0.007997989654541016
AgglomerativeClustering,"{'affinity': 'euclidean', 'linkage': 'average', 'n_clusters': 2}",0.0,0.5681159420289855,0.6294675561906644,0.008006095886230469
AgglomerativeClustering,"{'affinity': 'euclidean', 'linkage': 'average', 'n_clusters': 3}",0.8832938591974736,0.7195837484778036,0.5043490792923953,0.008003473281860352
AgglomerativeClustering,"{'affinity': 'euclidean', 'linkage': 'average', 'n_clusters': 4}",0.2650602409638554,0.7088753278732401,0.4226999292628631,0.008000612258911133
AgglomerativeClustering,"{'affinity': 'euclidean', 'linkage': 'average', 'n_clusters': 5}",0.012121212121212121,0.6842486635768289,0.3704241079872026,0.019384384155273438
AgglomerativeClustering,"{'affinity': 'manhattan', 'linkage': 'complete', 'n_clusters': 2}",0.38609972677595633,0.4219886317147244,0.472150181285852,0.007996797561645508
AgglomerativeClustering,"{'affinity': 'manhattan', 'linkage': 'complete', 'n_clusters': 3}",0.008547008547008546,0.6422512518362898,0.45123425278857543,0.008000850677490234
AgglomerativeClustering,"{'affinity': 'manhattan', 'linkage': 'complete', 'n_clusters': 4}",0.48001848001848,0.5914870916917886,0.4135561817096205,0.007994651794433594
AgglomerativeClustering,"{'affinity': 'manhattan', 'linkage': 'complete', 'n_clusters': 5}",0.008547008547008546,0.44483876677848727,0.3194031098519243,0.016002416610717773
AgglomerativeClustering,"{'affinity': 'manhattan', 'linkage': 'average', 'n_clusters': 2}",0.0,0.5681159420289855,0.6294675561906644,0.007998466491699219
AgglomerativeClustering,"{'affinity': 'manhattan', 'linkage': 'average', 'n_clusters': 3}",0.11570247933884299,0.6736713703529151,0.5018564917489702,0.008002519607543945
AgglomerativeClustering,"{'affinity': 'manhattan', 'linkage': 'average', 'n_clusters': 4}",0.4490358126721763,0.6565248376603987,0.4683772562905461,0.007998943328857422
AgglomerativeClustering,"{'affinity': 'manhattan', 'linkage': 'average', 'n_clusters': 5}",0.0,0.6456604004718953,0.38542190814824134,0.007999897003173828
AgglomerativeClustering,"{'affinity': 'cosine', 'linkage': 'complete', 'n_clusters': 2}",0.5555555555555555,0.5681159420289855,0.6294675561906644,0.01600480079650879
