Algorithm,Parameters,F1 Score,Adjusted Rand Score,Silhouette Score,Execution Time
KMeans,"{'init': 'k-means++', 'max_iter': 100, 'n_clusters': 2}",0.41994602933077474,0.030641422098241215,0.31808031991209973,1.2033040523529053
KMeans,"{'init': 'k-means++', 'max_iter': 100, 'n_clusters': 3}",0.5736186781531303,0.08947965682747405,0.2921587529378755,1.2189342975616455
KMeans,"{'init': 'k-means++', 'max_iter': 100, 'n_clusters': 4}",0.3899951299999182,0.12452816945057117,0.297079971532723,0.9416658878326416
KMeans,"{'init': 'k-means++', 'max_iter': 300, 'n_clusters': 2}",0.4198152373920915,0.030701857761321002,0.31811028242875067,0.5157051086425781
KMeans,"{'init': 'k-means++', 'max_iter': 300, 'n_clusters': 3}",0.4249340688174447,0.08947965682747405,0.2921587529378755,0.9518892765045166
KMeans,"{'init': 'k-means++', 'max_iter': 300, 'n_clusters': 4}",0.4581751494671318,0.12432806206186306,0.29703885697010557,0.9716002941131592
KMeans,"{'init': 'k-means++', 'max_iter': 500, 'n_clusters': 2}",0.598887677030731,0.03178907501439365,0.31839369858245326,0.5625853538513184
KMeans,"{'init': 'k-means++', 'max_iter': 500, 'n_clusters': 3}",0.21749053016132286,0.08947965682747405,0.2921587529378755,1.188868522644043
KMeans,"{'init': 'k-means++', 'max_iter': 500, 'n_clusters': 4}",0.38887813542288513,0.12486198397982731,0.2973199154303,0.9828834533691406
KMeans,"{'init': 'random', 'max_iter': 100, 'n_clusters': 2}",0.41825686941718226,0.03157618356665729,0.31847344466125427,0.7908813953399658
KMeans,"{'init': 'random', 'max_iter': 100, 'n_clusters': 3}",0.5149786705144763,0.08947965682747405,0.2921587529378755,1.1692566871643066
KMeans,"{'init': 'random', 'max_iter': 100, 'n_clusters': 4}",0.2122897326768764,0.12509891801060688,0.2973525206408273,0.7969932556152344
KMeans,"{'init': 'random', 'max_iter': 300, 'n_clusters': 2}",0.41999315230214923,0.030600900114777212,0.31807869652302484,0.5000765323638916
KMeans,"{'init': 'random', 'max_iter': 300, 'n_clusters': 3}",0.20568033842267264,0.08947965682747405,0.2921587529378755,1.0939128398895264
KMeans,"{'init': 'random', 'max_iter': 300, 'n_clusters': 4}",0.45742651267088097,0.12458836825526402,0.2971344638532413,2.135746479034424
KMeans,"{'init': 'random', 'max_iter': 500, 'n_clusters': 2}",0.5974675595226973,0.03074245593296858,0.3181103441112147,0.5157041549682617
KMeans,"{'init': 'random', 'max_iter': 500, 'n_clusters': 3}",0.5149786705144763,0.08947965682747405,0.2921587529378755,0.9984965324401855
KMeans,"{'init': 'random', 'max_iter': 500, 'n_clusters': 4}",0.29478142876275126,0.12377665830507065,0.29664091282006144,0.8866324424743652
DBSCAN,"{'eps': 0.5, 'min_samples': 3}",0.5101088089420623,0.00026626449658626847,0.5762483390937261,60.99404001235962
DBSCAN,"{'eps': 0.5, 'min_samples': 5}",0.5101088089420623,0.00026626449658626847,0.5762483390937261,60.965189933776855
DBSCAN,"{'eps': 0.5, 'min_samples': 7}",0.5101250813935406,0.00035505635367075335,0.5629158144802432,58.941492795944214
GaussianMixture,"{'covariance_type': 'full', 'max_iter': 100, 'n_components': 2}",0.3732259599146081,0.05838791328963168,0.22688154144274497,0.5289828777313232
GaussianMixture,"{'covariance_type': 'full', 'max_iter': 100, 'n_components': 3}",0.3962835818407597,0.14604132391027075,0.209570517842316,0.8268365859985352
GaussianMixture,"{'covariance_type': 'full', 'max_iter': 100, 'n_components': 4}",0.39191357304776375,0.10978911176174751,0.1410387629770363,3.2776341438293457
GaussianMixture,"{'covariance_type': 'full', 'max_iter': 300, 'n_components': 2}",0.6283128742170323,0.05838791328963168,0.22688154144274497,0.5157034397125244
GaussianMixture,"{'covariance_type': 'full', 'max_iter': 300, 'n_components': 3}",0.5154359422071695,0.14604132391027075,0.209570517842316,1.0782880783081055
GaussianMixture,"{'covariance_type': 'full', 'max_iter': 300, 'n_components': 4}",0.27769936163175074,0.10959166420212574,0.1407777569896828,3.5199782848358154
GaussianMixture,"{'covariance_type': 'full', 'max_iter': 500, 'n_components': 2}",0.3732259599146081,0.05838791328963168,0.22688154144274497,0.46881961822509766
GaussianMixture,"{'covariance_type': 'full', 'max_iter': 500, 'n_components': 3}",0.5154359422071695,0.14604132391027075,0.209570517842316,1.1864902973175049
GaussianMixture,"{'covariance_type': 'full', 'max_iter': 500, 'n_components': 4}",0.4541253945216121,0.10925083576853051,0.14052145379419892,3.9632210731506348
GaussianMixture,"{'covariance_type': 'tied', 'max_iter': 100, 'n_components': 2}",0.3490987927621377,0.017268377267731182,0.2612416377850408,0.8424642086029053
GaussianMixture,"{'covariance_type': 'tied', 'max_iter': 100, 'n_components': 3}",0.16322174223209873,0.21702682601076562,0.3095638699856169,0.8729970455169678
GaussianMixture,"{'covariance_type': 'tied', 'max_iter': 100, 'n_components': 4}",0.5658022726074894,0.1522147449424728,0.2416840596583527,1.7487294673919678
GaussianMixture,"{'covariance_type': 'tied', 'max_iter': 300, 'n_components': 2}",0.5765415499747951,0.016857996393666138,0.26109977931975326,0.9376397132873535
GaussianMixture,"{'covariance_type': 'tied', 'max_iter': 300, 'n_components': 3}",0.25481671562460345,0.21864837540287987,0.24113342519695719,1.4684596061706543
GaussianMixture,"{'covariance_type': 'tied', 'max_iter': 300, 'n_components': 4}",0.09586186637995998,0.1522147449424728,0.2416840596583527,1.6713595390319824
GaussianMixture,"{'covariance_type': 'tied', 'max_iter': 500, 'n_components': 2}",0.3493866752052636,0.016799448632055722,0.2610507794499791,0.764517068862915
