Algorithm,Parameters,F1 Score,Adjusted Rand Score,Silhouette Score,Execution Time,dataset
KMeans,"{'init': 'random', 'max_iter': 300, 'n_clusters': 3}",0.8852785369639302,0.7163421126838476,0.5043188549150883,0.2640652656555176,iris
AgglomerativeClustering,"{'affinity': 'euclidean', 'linkage': 'average', 'n_clusters': 3}",0.8832938591974736,0.7195837484778036,0.5043490792923953,0.0080034732818603,iris
OPTICS,"{'min_samples': 7, 'xi': 0.1}",0.3512544802867383,0.4241817451910752,0.3674983517858393,0.3596110343933105,iris
GaussianMixture,"{'covariance_type': 'tied', 'max_iter': 100, 'n_components': 3}",0.9599839935974392,0.8856970310281228,0.462590657154983,0.0560109615325927,iris
MeanShift,"{'bandwidth': 0.5, 'cluster_all': True}",0.0,0.5681159420289855,0.6294675561906644,1.285452365875244,iris
SpectralClustering,"{'affinity': 'nearest_neighbors', 'n_clusters': 3, 'n_neighbors': 5}",0.9198717948717948,0.7861639322874197,0.4808256214022063,0.3598036766052246,iris
Birch,"{'branching_factor': 20, 'n_clusters': 3, 'threshold': 0.1}",0.2555096418732782,0.6614133258247837,0.4967856366770267,0.0156252384185791,iris
AffinityPropagation,"{'damping': 0.7, 'preference': -1}",0.7808758405773331,0.6647740128671997,0.4269833271598388,0.0560181140899658,iris
Ward,"{'affinity': 'euclidean', 'linkage': 'ward', 'n_clusters': 4}",0.8250602409638554,0.6454234140112601,0.4325565263230163,0.0160048007965087,iris
